Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA
Date,,,,,,,,,,,,,,,
2025-02-03,227.75958251953125,410.09771728515625,383.67999267578125,231.5753945205246,414.57872255523336,389.1700134277344,225.45212191586603,407.8422300476431,374.3599853515625,229.73741895869952,410.7763492208031,386.67999267578125,73063300,25679100,93732100
2025-02-04,232.54432678222656,411.5447998046875,392.2099914550781,232.87396618357337,413.09171636714575,394.0,226.40107197135944,408.9200578355856,381.3999938964844,227.00041910872287,411.86416676091864,382.6300048828125,45067300,20532100,57072200
2025-02-05,232.21469116210938,412.4629821777344,378.1700134277344,232.4144684638066,413.0018796658512,388.3900146484375,228.0193068583431,409.5787506797878,375.5299987792969,228.27901582634638,411.5248607564065,387.510009765625,39620300,16316700,57223300
2025-02-06,232.9638671875,414.9879150390625,374.32000732421875,233.54323203112875,417.36315732347487,375.3999938964844,230.17692277145878,413.1715497090401,363.17999267578125,231.0359788855247,413.1715497090401,373.0299987792969,29925300,16309800,77918200
2025-02-07,227.3800048828125,408.9300537109375,361.6199951171875,233.74300400322835,417.8122379259866,380.54998779296875,227.0104008794231,407.2833615993766,360.3399963378906,232.3445476829273,415.6465973451397,370.19000244140625,39707200,22886800,70298300
2025-02-10,227.64999389648438,411.3951110839844,350.7300109863281,230.58999633789062,414.62861779989964,362.70001220703125,227.1999969482422,410.0977246861568,350.510009765625,229.57000732421875,412.8821197108573,356.2099914550781,33115600,20817900,77514900
2025-02-11,232.6199951171875,410.6166687011719,328.5,235.22999572753906,411.6645553606299,349.3699951171875,228.1300048828125,408.48093644203584,325.1000061035156,228.1999969482422,408.8202828688126,345.79998779296875,53718400,18140600,118543400
2025-02-12,236.8699951171875,408.2214660644531,336.510009765625,236.9600067138672,409.92803560329327,346.3999938964844,230.67999267578125,403.56079794352274,329.1199951171875,231.1999969482422,406.3951110778186,329.94000244140625,45243300,19121700,105382700
2025-02-13,241.52999877929688,409.7184753417969,355.94000244140625,242.33999633789062,410.17754630619044,358.69000244140625,235.57000732421875,405.54681680905935,342.8500061035156,236.91000366210938,406.185550721702,345.0,53614100,23891700,89441500
2025-02-14,244.60000610351562,407.6126708984375,355.8399963378906,245.5500030517578,408.0917213200678,362.0,240.99000549316406,405.06778596420224,347.5,241.25,406.9739674594389,360.6199951171875,40896200,22758500,68277300
2025-02-18,244.47000122070312,408.8202819824219,354.1099853515625,245.17999267578125,409.7783523938356,359.1000061035156,241.83999633789062,405.6865508328786,350.0199890136719,244.14999389648438,407.18354917543536,355.010009765625,48822500,21423100,51631700
2025-02-19,244.8699951171875,413.94000244140625,360.55999755859375,246.00999450683594,414.6585628844229,367.3399963378906,243.16000366210938,406.8342549807474,353.6700134277344,244.66000366210938,407.06380569744374,354.0,32204200,24114200,67094400
2025-02-20,245.8300018310547,416.1300048828125,354.3999938964844,246.77999877929688,419.30999755859375,362.29998779296875,244.2899932861328,412.5400085449219,348.0,244.94000244140625,415.2900085449219,361.510009765625,32316900,23508700,45965400
2025-02-21,245.5500030517578,408.2099914550781,337.79998779296875,248.69000244140625,418.04998779296875,354.9800109863281,245.22000122070312,407.8900146484375,334.4200134277344,245.9499969482422,417.3399963378906,353.44000244140625,53197400,27524800,74058600
2025-02-24,247.10000610351562,404.0,330.5299987792969,248.86000061035156,409.3699951171875,342.3999938964844,244.4199981689453,399.32000732421875,324.70001220703125,244.92999267578125,408.510009765625,338.1400146484375,51326400,26443700,76052300
2025-02-25,247.0399932861328,397.8999938964844,302.79998779296875,250.0,401.9200134277344,328.8900146484375,244.91000366210938,396.70001220703125,297.25,248.0,401.1000061035156,327.0199890136719,48013300,29387400,134228800
2025-02-26,240.36000061035156,399.7300109863281,290.79998779296875,244.97999572753906,403.6000061035156,309.0,239.1300048828125,394.25,288.0400085449219,244.3300018310547,398.010009765625,303.7099914550781,44433600,19619000,100118300
2025-02-27,237.3000030517578,392.5299987792969,281.95001220703125,242.4600067138672,405.739990234375,297.2300109863281,237.05999755859375,392.1700134277344,280.8800048828125,239.41000366210938,401.2699890136719,291.1600036621094,41153600,21127400,101748200
